id,employee_id,name_zh,department,departments,name_en_list
115,gen_b934ab6d,Yang Shu,"Department of Laboratory Medicine, Precision Medicine Center, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
116,gen_f81f00ab,Yang Xu,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
117,gen_3e14f5bf,Yanhui Liu,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
118,gen_8c829a44,Yanming Ren,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
119,gen_c5e2b306,Yanqiu Gong,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
120,gen_aa8a2630,Yaoyao Zhang,"BMI Center for Biomass Materials and Nanointerfaces, College of Biomass Science and Engineering, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
121,gen_cc251c4e,Yi Wu,"Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, and West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, and Collaborative Innovation Center for Biotherapy, Chengdu, China",,"""[]"""
122,gen_e4daffcd,Yifei Li,"BMI Center for Biomass Materials and Nanointerfaces, College of Biomass Science and Engineering, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
123,gen_64cc0aad,Ying Yang,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
124,gen_ec744014,Yinyun Ni,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
125,gen_185b7ecf,Yong Peng,"Laboratory of Molecular Oncology, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
126,gen_3fa571f1,Yong Sun,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
127,gen_69336632,Yong Zhang,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
128,gen_90afcb50,Yu Liu,"Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
129,gen_d819aaf3,Yuan Wang,"Department of Neurosurgery, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
130,gen_28f3e251,Yuan Yang,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
131,gen_baa7198b,Yuankai Wu,Sichuan University,,"""[]"""
132,gen_ae4e5b50,Yubo Wang,"Key Laboratory of Bio-Resource and Eco-Environment of Ministry of Education, College of Life Sciences, State Key Laboratory of Hydraulics and Mountain River Engineering, Sichuan University, Chengdu, China",,"""[]"""
133,gen_0d080850,Yuekang Zhang,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
134,gen_442323fa,Yujiang Fan,"National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
135,gen_084dc048,Yujie Guo,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
